"symbol","uniprot","ensembl","entrez","name"
"EHD1","Q9H4M9","ENSG00000110047",10938,NA
"RAB18","Q9NP72","ENSG00000099246",22931,NA
"SUCLG2","Q96I99","ENSG00000172340",8801,NA
"DNAJA1","P31689","ENSG00000086061",3301,NA
"DNAJA2","O60884","ENSG00000069345",10294,NA
"SUCLA2","Q9P2R7","ENSG00000136143",8803,NA
"TARS2","Q9BW92","ENSG00000143374",80222,NA
"ALDOA","P04075","ENSG00000149925",226,NA
"SLC25A13","Q9UJS0","ENSG00000004864",10165,NA
"SAE1","Q9UBE0","ENSG00000142230",10055,NA
"DNAJB6","O75190","ENSG00000105993",10049,NA
"ITGA2","P17301","ENSG00000164171",3673,NA
"MYL9","P24844","ENSG00000101335",10398,NA
"CLTC","Q00610","ENSG00000141367",1213,NA
"ADAM17","P78536","ENSG00000151694",6868,NA
"TTC27","Q6P3X3","ENSG00000018699",55622,NA
"UNC45A","Q9H3U1","ENSG00000140553",55898,NA
"SLC25A31","Q9H0C2","ENSG00000151475",83447,NA
"IPO4","Q8TEX9","ENSG00000285248",79711,NA
"TM9SF3","Q9HD45","ENSG00000077147",56889,NA
"RGPD4","Q7Z3J3","ENSG00000196862",285190,NA
"NMRAL1","Q9HBL8","ENSG00000274684",57407,NA
"A2M","P01023","ENSG00000175899",2,NA
"C1QBP","Q07021","ENSG00000108561",708,NA
"SLC16A1","P53985","ENSG00000281917",6566,NA
"RBBP4","Q09028","ENSG00000162521",5928,NA
"ANXA3","P12429","ENSG00000138772",306,NA
"S100A8","P05109","ENSG00000143546",6279,NA
"DSC1","Q08554","ENSG00000134765",1823,NA
"RCN2","Q14257","ENSG00000117906",5955,NA
"RCN1","Q15293","ENSG00000049449",5954,NA
"SLC25A24","Q6NUK1","ENSG00000284468",29957,NA
"HRNR","Q86YZ3","ENSG00000197915",388697,NA
"FLG2","Q5D862","ENSG00000143520",388698,NA
"PABPC1","P11940","ENSG00000070756",26986,NA
"SFXN1","Q9H9B4","ENSG00000164466",94081,NA
"LGALS3BP","Q08380","ENSG00000108679",3959,NA
"VAPA","Q9P0L0","ENSG00000101558",9218,NA
"FHL1","Q13642","ENSG00000022267",2273,NA
"NCAPH","Q15003","ENSG00000121152",23397,NA
"NCAPG","Q9BPX3","ENSG00000109805",64151,NA
"NCAPD2","Q15021","ENSG00000010292",9918,NA
"PPP2R2D","Q66LE6","ENSG00000175470",55844,NA
"PRDX1","Q06830","ENSG00000117450",5052,NA
"P4HB","P07237","ENSG00000185624",5034,NA
"PDIA6","Q15084","ENSG00000143870",10130,NA
"PGRMC1","O00264","ENSG00000101856",10857,NA
"LMNA","P02545","ENSG00000160789",4000,NA
"DSP","P15924","ENSG00000096696",1832,NA
"VIM","P08670","ENSG00000026025",7431,NA
"LMNB1","P20700","ENSG00000113368",4001,NA
"HPX","P02790","ENSG00000110169",3263,NA
"EXOC7","Q9UPT5","ENSG00000182473",23265,NA
"PPP2CB","P62714","ENSG00000104695",5516,NA
"SERPINH1","P50454","ENSG00000149257",871,NA
"COPB2","P35606","ENSG00000184432",9276,NA
"SEC23A","Q15436","ENSG00000100934",10484,NA
"SEC23B","Q15437","ENSG00000101310",10483,NA
"CSTA","P01040","ENSG00000121552",1475,NA
"SPRR1B","P22528","ENSG00000169469",6699,NA
"KLHL22","Q53GT1","ENSG00000099910",84861,NA
"GRN","P28799","ENSG00000030582",2896,NA
"KPRP","Q5T749","ENSG00000203786",448834,NA
"TRIM5","Q9C035","ENSG00000132256",85363,NA
"EPPK1","P58107","ENSG00000261150",83481,NA
"YWHAH","Q04917","ENSG00000128245",7533,NA
"TES","Q9UGI8","ENSG00000135269",26136,NA
"PYGB","P11216","ENSG00000100994",5834,NA
"IPO9","Q96P70","ENSG00000198700",55705,NA
"PABPC3","Q9H361","ENSG00000151846",5042,NA
"XPO4","Q9C0E2","ENSG00000132953",64328,NA
"TNPO3","Q9Y5L0","ENSG00000064419",23534,NA
"PPP6R3","Q5H9R7","ENSG00000110075",55291,NA
"LMO7","Q8WWI1","ENSG00000136153",4008,NA
"TRIM29","Q14134","ENSG00000137699",23650,NA
"PRDX6","P30041","ENSG00000117592",9588,NA
"STOML2","Q9UJZ1","ENSG00000165283",30968,NA
"SNX27","Q96L92","ENSG00000143376",81609,NA
"EEF1B2","P24534","ENSG00000283391",1933,NA
"EIF2B4","Q9UI10","ENSG00000115211",8890,NA
"EIF3K","Q9UBQ5","ENSG00000282986",27335,NA
"EIF3I","Q13347","ENSG00000084623",8668,NA
"GGCT","O75223","ENSG00000006625",79017,NA
"PPP2R2A","P63151","ENSG00000221914",5520,NA
"RPS13","P62277","ENSG00000110700",6207,NA
"DLST","P36957","ENSG00000119689",1743,NA
"HUWE1","Q7Z6Z7","ENSG00000086758",10075,NA
"AIFM1","O95831","ENSG00000156709",9131,NA
"ENO1","P06733","ENSG00000074800",2023,NA
"IMPDH2","P12268","ENSG00000178035",3615,NA
"CALR","P27797","ENSG00000179218",811,NA
"SRRM1","Q8IYB3","ENSG00000133226",10250,NA
"TRIM21","P19474","ENSG00000132109",6737,NA
"PCBP3","P57721","ENSG00000183570",54039,NA
"KHSRP","Q92945","ENSG00000088247",8570,NA
"PSMA6","P60900","ENSG00000100902",5687,NA
"PSMA1","P25786","ENSG00000129084",5682,NA
"PSMA3","P25788","ENSG00000100567",5684,NA
"PSMB3","P49720","ENSG00000275903",5691,NA
"PSMA5","P28066","ENSG00000143106",5686,NA
"SFN","P31947","ENSG00000175793",2810,NA
"EXOSC6","Q5RKV6","ENSG00000223496",118460,NA
"KPNB1","Q14974","ENSG00000108424",3837,NA
"KPNA2","P52292","ENSG00000182481",3838,NA
"TRIM28","Q13263","ENSG00000130726",10155,NA
"SSBP1","Q04837","ENSG00000262771",6742,NA
"KRT7","P08729","ENSG00000135480",3855,NA
"RPN1","P04843","ENSG00000163902",6184,NA
"SDHA","P31040","ENSG00000073578",6389,NA
"UBR3","Q6ZT12","ENSG00000144357",130507,NA
"HSD17B12","Q53GQ0","ENSG00000149084",51144,NA
"DERL1","Q9BUN8","ENSG00000136986",79139,NA
"EXOC4","Q96A65","ENSG00000131558",60412,NA
"QPCT","Q16769","ENSG00000115828",25797,NA
"PZP","P20742","ENSG00000126838",5858,NA
"CAPZA2","P47755","ENSG00000198898",830,NA
"CAPZA1","P52907","ENSG00000116489",829,NA
"TECR","Q9NZ01","ENSG00000099797",9524,NA
"ACTN2","P35609","ENSG00000077522",88,NA
"FKBP8","Q14318","ENSG00000105701",23770,NA
"GPRC5A","Q8NFJ5","ENSG00000013588",9052,NA
"LANCL1","O43813","ENSG00000115365",10314,NA
"C3","P01024","ENSG00000125730",718,NA
"SKP1","P63208","ENSG00000113558",6500,NA
"YWHAE","P62258","ENSG00000274474",7531,NA
"YWHAG","P61981","ENSG00000170027",7532,NA
"RAB5A","P20339","ENSG00000144566",5868,NA
"TGM3","Q08188","ENSG00000125780",7053,NA
"RAB14","P61106","ENSG00000119396",51552,NA
"RANBP1","P43487","ENSG00000099901",5902,NA
"SLC25A11","Q02978","ENSG00000108528",8402,NA
"GCDH","Q92947","ENSG00000105607",2639,NA
"DYM","Q7RTS9","ENSG00000141627",54808,NA
"SACM1L","Q9NTJ5","ENSG00000211456",22908,NA
"VAPB","O95292","ENSG00000124164",9217,NA
"LRBA","P50851","ENSG00000198589",987,NA
"IPO7","O95373","ENSG00000205339",10527,NA
"PJA2","O43164","ENSG00000198961",9867,NA
"AP1B1","Q10567","ENSG00000100280",162,NA
"CAV1","Q03135","ENSG00000105974",857,NA
"RAB5B","P61020","ENSG00000111540",5869,NA
"TUBA8","Q9NY65","ENSG00000183785",51807,NA
"EEF2","P13639","ENSG00000167658",1938,NA
"RAB5C","P51148","ENSG00000108774",5878,NA
"ARF4","P18085","ENSG00000168374",378,NA
"ARL1","P40616","ENSG00000120805",400,NA
"YTHDF2","Q9Y5A9","ENSG00000198492",51441,NA
"TMEM33","P57088","ENSG00000109133",55161,NA
"SCAMP2","O15127","ENSG00000140497",10066,NA
"ESYT2","A0FGR8","ENSG00000117868",57488,NA
"SPTLC2","O15270","ENSG00000100596",9517,NA
"IMMT","Q16891","ENSG00000132305",10989,NA
"KRT23","Q9C075","ENSG00000263309",25984,NA
"KRT33A","O76009","ENSG00000261986",3883,NA
"KRT72","Q14CN4","ENSG00000170486",140807,NA
"KRT80","Q6KB66","ENSG00000167767",144501,NA
"LDHA","P00338","ENSG00000288299",3939,NA
"MDH2","P40926","ENSG00000146701",4191,NA
"MRI1","Q9BV20","ENSG00000037757",84245,NA
